"I_D"	"FLAG_TSUNAMI"	"YEAR"	"MONTH"	"DAY"	"HOUR"	"MINUTE"	"SECOND"	"FOCAL_DEPTH"	"EQ_MAG_MW"	"EQ_MAG_MS"	"Max.Richter"	"EQ_MAG_MB"	"EQ_MAG_ML"	"EQ_MAG_MFA"	"EQ_MAG_UNK"	"INTENSITY"	"COUNTRY"	"STATE"	"LOCATION_NAME"	"LATITUDE"	"LONGITUDE"	"REGION_CODE"	"DEATHS"	"DEATHS_DESCRIPTION"	"MISSING"	"MISSING_DESCRIPTION"	"INJURIES"	"INJURIES_DESCRIPTION"	"DAMAGE_MILLIONS_DOLLARS"	"DAMAGE_DESCRIPTION"	"HOUSES_DESTROYED"	"HOUSES_DESTROYED_DESCRIPTION"	"HOUSES_DAMAGED"	"HOUSES_DAMAGED_DESCRIPTION"	"TOTAL_DEATHS"	"TOTAL_DEATHS_DESCRIPTION"	"TOTAL_MISSING"	"TOTAL_MISSING_DESCRIPTION"	"TOTAL_INJURIES"	"TOTAL_INJURIES_DESCRIPTION"	"TOTAL_DAMAGE_MILLIONS_DOLLARS"	"TOTAL_DAMAGE_DESCRIPTION"	"TOTAL_HOUSES_DESTROYED"	"TOTAL_HOUSES_DESTROYED_DESCRIPTION"	"TOTAL_HOUSES_DAMAGED"	"TOTAL_HOUSES_DAMAGED_DESCRIPTION"
5857	"Tsu"	1806	3	25	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	"USA"	"CA"	"CALIFORNIA:  SANTA BARBARA"	34.4	-119.7	150	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
7799	"Tsu"	1806	8	26	13	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	"ITALY"	""	"ITALY:  TYRRHENIAN SEA"	41.7	12.7	130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1579	"Tsu"	1806	12	1	23	NA	NA	30	NA	7.5	7.5	NA	NA	NA	NA	8	"PERU"	""	"PERU:  LIMA"	-12.1	-77.1	160	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
6042	"Tsu"	1808	8	8	NA	NA	NA	NA	NA	6.5	6.5	NA	NA	NA	NA	NA	"JAPAN"	""	"E. AWA, TOKUSHIMA PREFECTURE"	33.9	134.8	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9927	"Tsu"	1809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"USA TERRITORY"	"GU"	"GUAM"	14	143.3	170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1587	"Tsu"	1810	9	25	NA	NA	NA	NA	NA	6.6	6.6	NA	NA	NA	NA	NA	"JAPAN"	""	"JAPAN:  OGA"	39.9	139.9	30	59	2	NA	NA	NA	NA	NA	3	1804	4	NA	NA	59	2	NA	NA	NA	NA	NA	3	1804	4	NA	NA
6527	"Tsu"	1811	11	19	14	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CHILE"	""	"CHILE:  VALPARAISO"	-33.08	-71.67	160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1594	"Tsu"	1811	12	16	8	15	NA	NA	NA	8.5	8.5	NA	NA	7.2	NA	11	"USA"	"AR"	"ARKANSAS: NORTHEAST (NEW MADRID EARTHQUAKES)"	35.6	-90.4	150	NA	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
7058	"Tsu"	1811	12	16	14	15	NA	NA	NA	8	8	NA	NA	7	NA	10	"USA"	"AR"	"ARKANSAS: NORTHEAST (NEW MADRID EARTHQUAKES)"	35.6	-90.4	150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1597	"Tsu"	1812	1	23	15	NA	NA	NA	NA	8.4	8.4	NA	NA	7.1	NA	10	"USA"	"MO"	"MISSOURI:  NEW MADRID"	36.3	-89.6	150	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
